timestamp,name,symbol,price_usd,vol_24h,total_vol,chg_24h,chg_7d,market_cap
2025-12-16 20:02:35,Dogecoin,doge,$0.13,"$1,209,891,617.00",0.59%,+1.57%,-10.70%,"$20,045,255,801"
2025-12-16 20:02:35,Binance Bridged USDT (BNB Smart Chain),bsc-usd,$1.00,"$1,646,664,171.00",0.81%,+0.02%,-0.05%,"$8,987,427,335"
2025-12-16 20:02:35,BNB,bnb,$870.91,"$1,919,192,388.00",0.94%,+2.23%,-5.72%,"$119,955,520,335"
2025-12-16 20:02:35,XRP,xrp,$1.93,"$3,651,064,782.00",1.79%,+0.83%,-8.91%,"$116,477,162,486"
2025-12-16 20:02:35,Ethereum,eth,"$2,937.39","$27,919,446,945.00",13.68%,-1.68%,-9.62%,"$354,801,834,175"
2025-12-16 20:02:35,Solana,sol,$128.33,"$5,199,866,480.00",2.55%,+1.50%,-10.90%,"$72,179,681,404"
2025-12-16 20:02:35,Bitcoin,btc,"$87,583.00","$54,967,151,164.00",26.92%,+1.40%,-5.93%,"$1,748,607,908,164"
2025-12-16 20:02:35,Tether,usdt,$1.00,"$85,302,888,648.00",41.78%,-0.01%,-0.04%,"$186,294,985,960"
2025-12-16 20:02:35,USDC,usdc,$1.00,"$12,937,650,777.00",6.34%,+0.02%,+0.01%,"$78,290,675,910"
2025-12-16 19:36:32,USDS,usds,$1.00,"$7,142,525.00",0.00%,-0.03%,-0.01%,"$9,896,235,806"
2025-12-16 19:36:32,LEO Token,leo,$9.04,"$617,717.00",0.00%,-2.72%,-5.48%,"$8,326,057,472"
2025-12-16 19:36:32,Figure Heloc,figr_heloc,$1.03,"$12,393,222.00",0.01%,+1.86%,+0.06%,"$14,686,444,904"
2025-12-16 19:36:32,Wrapped Beacon ETH,wbeth,"$3,196.62","$15,654,939.00",0.01%,-1.67%,-9.24%,"$10,448,915,519"
2025-12-16 19:36:32,Wrapped eETH,weeth,"$3,190.48","$17,885,283.00",0.01%,-2.07%,-5.40%,"$8,710,155,928"
2025-12-16 19:36:32,MemeCore,m,$1.64,"$14,862,686.00",0.01%,-6.06%,+21.56%,"$2,812,042,584"
2025-12-16 19:36:32,Canton,cc,$0.07,"$16,198,251.00",0.01%,+3.94%,-5.30%,"$2,671,853,794"
2025-12-16 19:36:32,Rain,rain,$0.01,"$22,035,768.00",0.01%,+0.72%,-0.75%,"$2,651,539,689"
2025-12-16 19:36:32,Lido Staked Ether,steth,"$2,945.00","$51,311,523.00",0.02%,-1.75%,-5.51%,"$25,845,648,709"
2025-12-16 19:36:32,sUSDS,susds,$1.07,"$50,154,236.00",0.02%,-1.05%,-0.72%,"$4,642,095,746"
2025-12-16 19:36:32,Cronos,cro,$0.10,"$33,131,326.00",0.02%,+1.80%,-9.28%,"$3,583,521,893"
2025-12-16 19:36:32,Ethena Staked USDe,susde,$1.21,"$36,283,509.00",0.02%,-0.05%,+0.06%,"$3,446,785,784"
2025-12-16 19:36:32,Wrapped stETH,wsteth,"$3,598.07","$66,292,500.00",0.03%,-1.74%,-5.46%,"$11,363,562,132"
2025-12-16 19:36:32,WhiteBIT Coin,wbt,$58.22,"$75,563,733.00",0.04%,-0.29%,-4.05%,"$12,488,307,726"
2025-12-16 19:36:32,PayPal USD,pyusd,$1.00,"$94,051,961.00",0.04%,-0.01%,+0.02%,"$3,871,660,285"
2025-12-16 19:36:32,World Liberty Financial,wlfi,$0.14,"$91,609,530.00",0.04%,+0.78%,-9.81%,"$3,681,156,293"
2025-12-16 19:36:32,Ethena USDe,usde,$1.00,"$104,557,158.00",0.05%,+0.00%,-0.07%,"$6,462,570,950"
2025-12-16 19:36:32,Hedera,hbar,$0.12,"$125,726,052.00",0.06%,+0.98%,-14.47%,"$4,895,456,356"
2025-12-16 19:36:32,Shiba Inu,shib,$0.00,"$129,356,811.00",0.06%,+0.56%,-7.53%,"$4,678,171,333"
2025-12-16 19:36:32,Dai,dai,$1.00,"$126,471,281.00",0.06%,+0.02%,+0.10%,"$4,335,485,419"
2025-12-16 19:36:32,Toncoin,ton,$1.56,"$123,749,984.00",0.06%,+4.40%,-6.42%,"$3,817,973,940"
2025-12-16 19:36:32,Stellar,xlm,$0.22,"$141,670,525.00",0.07%,+0.32%,-8.03%,"$7,197,678,672"
2025-12-16 19:36:32,Monero,xmr,$426.42,"$172,239,355.00",0.08%,+3.27%,+15.70%,"$7,841,219,484"
2025-12-16 19:36:32,Mantle,mnt,$1.26,"$193,753,544.00",0.09%,+1.33%,+13.84%,"$4,098,234,871"
2025-12-16 19:36:32,WETH,weth,"$2,944.32","$207,008,991.00",0.10%,-2.22%,-9.24%,"$7,655,820,385"
2025-12-16 19:36:32,Polkadot,dot,$1.91,"$210,979,179.00",0.10%,+1.84%,-9.71%,"$3,150,784,246"
2025-12-16 19:36:32,Wrapped Bitcoin,wbtc,"$87,593.00","$285,728,193.00",0.14%,+1.33%,-5.30%,"$10,943,899,369"
2025-12-16 19:36:32,Uniswap,uni,$5.20,"$312,265,466.00",0.15%,+2.48%,-5.24%,"$3,282,888,997"
2025-12-16 19:36:32,USDT0,usdt0,$1.00,"$341,870,793.00",0.16%,-0.00%,-0.01%,"$4,827,599,050"
2025-12-16 19:36:32,Hyperliquid,hype,$27.12,"$361,520,460.00",0.17%,-2.91%,-5.23%,"$7,346,595,596"
2025-12-16 19:36:32,Bitcoin Cash,bch,$546.70,"$369,562,269.00",0.18%,+1.14%,-6.67%,"$10,922,764,419"
2025-12-16 19:36:32,Aave,aave,$188.29,"$397,955,015.00",0.19%,+2.39%,-0.35%,"$2,866,687,750"
2025-12-16 19:36:32,Avalanche,avax,$12.31,"$420,196,390.00",0.20%,-1.58%,-12.85%,"$5,294,451,148"
2025-12-16 19:36:32,USD1,usd1,$1.00,"$467,545,836.00",0.22%,-0.02%,+0.02%,"$2,740,273,151"
2025-12-16 19:36:32,Coinbase Wrapped BTC,cbbtc,"$87,813.00","$516,215,076.00",0.25%,+1.03%,-2.74%,"$6,413,008,911"
2025-12-16 19:36:32,Litecoin,ltc,$79.06,"$547,479,977.00",0.26%,+1.68%,-5.51%,"$6,060,762,916"
2025-12-16 19:36:32,TRON,trx,$0.28,"$668,232,337.00",0.32%,+0.17%,+0.36%,"$26,665,694,709"
2025-12-16 19:36:32,Cardano,ada,$0.39,"$682,807,123.00",0.33%,+0.55%,-13.94%,"$14,264,122,944"
2025-12-16 19:36:32,Chainlink,link,$12.95,"$682,669,714.00",0.33%,+1.39%,-10.00%,"$9,042,826,026"
2025-12-16 19:36:32,Sui,sui,$1.51,"$902,673,001.00",0.43%,+2.34%,-5.51%,"$5,680,842,567"
2025-12-16 19:36:32,Zcash,zec,$410.49,"$985,234,517.00",0.47%,-0.92%,-3.34%,"$6,757,800,737"
2025-12-16 19:36:32,Dogecoin,doge,$0.13,"$1,313,166,025.00",0.63%,+1.18%,-6.21%,"$20,115,251,006"
2025-12-16 19:36:32,Binance Bridged USDT (BNB Smart Chain),bsc-usd,$1.00,"$1,713,363,689.00",0.82%,-0.05%,-0.06%,"$8,982,657,471"
2025-12-16 19:36:32,BNB,bnb,$872.69,"$1,954,037,093.00",0.93%,+1.93%,-3.82%,"$120,492,466,061"
2025-12-16 19:36:32,Ethereum,eth,"$2,941.32","$28,549,002,358.00",13.62%,-1.79%,-9.49%,"$355,665,004,268"
2025-12-16 19:36:32,XRP,xrp,$1.93,"$4,208,894,523.00",2.01%,+0.49%,-8.71%,"$116,898,161,042"
2025-12-16 19:36:32,Solana,sol,$128.59,"$5,408,270,523.00",2.58%,+1.54%,-2.79%,"$72,339,589,970"
2025-12-16 19:36:32,Bitcoin,btc,"$87,695.00","$56,134,878,467.00",26.78%,+1.21%,-2.87%,"$1,752,948,261,235"
2025-12-16 19:36:32,Tether,usdt,$1.00,"$87,054,599,251.00",41.53%,-0.03%,-0.02%,"$186,295,217,065"
2025-12-16 19:36:32,USDC,usdc,$1.00,"$13,221,097,447.00",6.31%,+0.02%,+0.02%,"$78,292,825,446"
2025-12-16 18:48:17,LEO Token,leo,$9.22,"$530,881.00",0.00%,-0.76%,-3.59%,"$8,500,256,993"
2025-12-16 18:48:17,Figure Heloc,figr_heloc,$1.03,"$11,953,454.00",0.01%,+1.90%,+0.11%,"$14,693,225,193"
2025-12-16 18:48:17,Wrapped Beacon ETH,wbeth,"$3,192.46","$14,696,352.00",0.01%,-2.52%,-5.67%,"$10,416,407,693"
2025-12-16 18:48:17,USDS,usds,$1.00,"$12,399,470.00",0.01%,+0.03%,-0.01%,"$9,905,295,432"
